policy_type,threshold,action_delay,timeout,score_point_s,score_mode,cutoff_rate,mean_latency,timeout_rate,detect_rate,f1,n_hold_spans,n_eot_spans,is_pareto
model,0.86,0.8,3.5,0.2,score_point,0.0014184397163120568,2.34575,0.5725,0.4275,0.5979020979020979,705,400,True
model,0.86,0.9,3.5,0.2,score_point,0.0014184397163120568,2.3884999999999996,0.5725,0.4275,0.5979020979020979,705,400,False
model,0.86,1.0,3.5,0.2,score_point,0.0014184397163120568,2.43125,0.5725,0.4275,0.5979020979020979,705,400,False
model,0.87,0.8,3.5,0.2,score_point,0.0014184397163120568,2.4335000000000004,0.605,0.395,0.5652951699463328,705,400,False
model,0.87,0.9,3.5,0.2,score_point,0.0014184397163120568,2.4729999999999994,0.605,0.395,0.5652951699463328,705,400,False
model,0.87,1.0,3.5,0.2,score_point,0.0014184397163120568,2.5125,0.605,0.395,0.5652951699463328,705,400,False
model,0.88,0.8,3.5,0.2,score_point,0.0014184397163120568,2.5685000000000002,0.655,0.345,0.5120593692022263,705,400,False
model,0.88,0.9,3.5,0.2,score_point,0.0014184397163120568,2.603,0.655,0.345,0.5120593692022263,705,400,False
model,0.88,1.0,3.5,0.2,score_point,0.0014184397163120568,2.6375,0.655,0.345,0.5120593692022263,705,400,False
model,0.89,0.8,3.5,0.2,score_point,0.0014184397163120568,2.66975,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.89,0.9,3.5,0.2,score_point,0.0014184397163120568,2.7004999999999995,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.89,1.0,3.5,0.2,score_point,0.0014184397163120568,2.73125,0.6925,0.3075,0.46946564885496184,705,400,False
model,0.9,0.8,3.5,0.2,score_point,0.0014184397163120568,2.7575,0.725,0.275,0.43052837573385516,705,400,False
model,0.9,0.9,3.5,0.2,score_point,0.0014184397163120568,2.785,0.725,0.275,0.43052837573385516,705,400,False
model,0.9,1.0,3.5,0.2,score_point,0.0014184397163120568,2.8125,0.725,0.275,0.43052837573385516,705,400,False
model,0.91,0.8,3.5,0.2,score_point,0.0014184397163120568,2.8520000000000003,0.76,0.24,0.386317907444668,705,400,False
model,0.91,0.9,3.5,0.2,score_point,0.0014184397163120568,2.8760000000000003,0.76,0.24,0.386317907444668,705,400,False
model,0.92,0.5,3.5,0.2,score_point,0.0014184397163120568,2.8925,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.91,1.0,3.5,0.2,score_point,0.0014184397163120568,2.9,0.76,0.24,0.386317907444668,705,400,False
model,0.92,0.6,3.5,0.2,score_point,0.0014184397163120568,2.9127500000000004,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.92,0.7,3.5,0.2,score_point,0.0014184397163120568,2.9329999999999994,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.92,0.8,3.5,0.2,score_point,0.0014184397163120568,2.9532500000000006,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.92,0.9,3.5,0.2,score_point,0.0014184397163120568,2.9734999999999996,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.93,0.5,3.5,0.2,score_point,0.0014184397163120568,2.9825,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.92,1.0,3.5,0.2,score_point,0.0014184397163120568,2.99375,0.7975,0.2025,0.33609958506224064,705,400,False
model,0.93,0.6,3.5,0.2,score_point,0.0014184397163120568,2.99975,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.93,0.7,3.5,0.2,score_point,0.0014184397163120568,3.017,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.93,0.8,3.5,0.2,score_point,0.0014184397163120568,3.03425,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.93,0.9,3.5,0.2,score_point,0.0014184397163120568,3.0515,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.93,1.0,3.5,0.2,score_point,0.0014184397163120568,3.06875,0.8275,0.1725,0.2936170212765958,705,400,False
model,0.94,0.5,3.5,0.2,score_point,0.0014184397163120568,3.125,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.6,3.5,0.2,score_point,0.0014184397163120568,3.1375,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.7,3.5,0.2,score_point,0.0014184397163120568,3.15,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.8,3.5,0.2,score_point,0.0014184397163120568,3.1625,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,0.9,3.5,0.2,score_point,0.0014184397163120568,3.175,0.875,0.125,0.22172949002217293,705,400,False
model,0.94,1.0,3.5,0.2,score_point,0.0014184397163120568,3.1875,0.875,0.125,0.22172949002217293,705,400,False
model,0.95,0.2,3.5,0.2,score_point,0.0014184397163120568,3.3185000000000002,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.3,3.5,0.2,score_point,0.0014184397163120568,3.324,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.4,3.5,0.2,score_point,0.0014184397163120568,3.3295000000000003,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.5,3.5,0.2,score_point,0.0014184397163120568,3.335,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.6,3.5,0.2,score_point,0.0014184397163120568,3.3404999999999996,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.7,3.5,0.2,score_point,0.0014184397163120568,3.346,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.8,3.5,0.2,score_point,0.0014184397163120568,3.3514999999999997,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,0.9,3.5,0.2,score_point,0.0014184397163120568,3.3570000000000007,0.945,0.055,0.10401891252955084,705,400,False
model,0.95,1.0,3.5,0.2,score_point,0.0014184397163120568,3.3625,0.945,0.055,0.10401891252955084,705,400,False
model,0.96,0.2,3.5,0.2,score_point,0.0014184397163120568,3.4010000000000002,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.3,3.5,0.2,score_point,0.0014184397163120568,3.404,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.4,3.5,0.2,score_point,0.0014184397163120568,3.4070000000000005,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.5,3.5,0.2,score_point,0.0014184397163120568,3.41,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.6,3.5,0.2,score_point,0.0014184397163120568,3.4129999999999994,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.7,3.5,0.2,score_point,0.0014184397163120568,3.4160000000000004,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.8,3.5,0.2,score_point,0.0014184397163120568,3.4189999999999996,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,0.9,3.5,0.2,score_point,0.0014184397163120568,3.4220000000000006,0.97,0.03,0.058111380145278446,705,400,False
model,0.96,1.0,3.5,0.2,score_point,0.0014184397163120568,3.425,0.97,0.03,0.058111380145278446,705,400,False
model,0.97,0.2,3.5,0.2,score_point,0.0014184397163120568,3.4339999999999997,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.3,3.5,0.2,score_point,0.0014184397163120568,3.4360000000000004,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.4,3.5,0.2,score_point,0.0014184397163120568,3.438,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.5,3.5,0.2,score_point,0.0014184397163120568,3.44,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.6,3.5,0.2,score_point,0.0014184397163120568,3.4419999999999997,0.98,0.02,0.039119804400977995,705,400,False
model,0.97,0.7,3.5,0.2,score_point,0.0014184397163120568,3.444,0.98,0.02,0.039119804400977995,705,400,False
