policy_type,threshold,action_delay,timeout,score_point_s,score_mode,cutoff_rate,mean_latency,timeout_rate,detect_rate,f1,n_hold_spans,n_eot_spans,is_pareto
model,0.97,0.5,3.5,0.2,score_point,0.0014184397163120568,3.35,0.95,0.05,0.09501187648456057,705,400,False
model,0.97,0.6,3.5,0.2,score_point,0.0014184397163120568,3.355,0.95,0.05,0.09501187648456057,705,400,False
model,0.97,0.7,3.5,0.2,score_point,0.0014184397163120568,3.36,0.95,0.05,0.09501187648456057,705,400,False
model,0.97,0.8,3.5,0.2,score_point,0.0014184397163120568,3.365,0.95,0.05,0.09501187648456057,705,400,False
model,0.97,0.9,3.5,0.2,score_point,0.0014184397163120568,3.37,0.95,0.05,0.09501187648456057,705,400,False
model,0.97,1.0,3.5,0.2,score_point,0.0014184397163120568,3.375,0.95,0.05,0.09501187648456057,705,400,False
model,0.98,0.2,3.5,0.2,score_point,0.0014184397163120568,3.44225,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.3,3.5,0.2,score_point,0.0014184397163120568,3.444,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.4,3.5,0.2,score_point,0.0014184397163120568,3.4457500000000003,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.5,3.5,0.2,score_point,0.0014184397163120568,3.4475,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.6,3.5,0.2,score_point,0.0014184397163120568,3.4492499999999997,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.7,3.5,0.2,score_point,0.0014184397163120568,3.451,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.8,3.5,0.2,score_point,0.0014184397163120568,3.45275,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,0.9,3.5,0.2,score_point,0.0014184397163120568,3.4545000000000003,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.98,1.0,3.5,0.2,score_point,0.0014184397163120568,3.45625,0.9825,0.0175,0.03431372549019608,705,400,False
model,0.99,0.2,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.2,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.3,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.3,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.4,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.4,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.5,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.5,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.6,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.6,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.7,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.7,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.8,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.8,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,0.9,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,0.9,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.99,1.0,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,1.0,1.0,3.5,0.2,score_point,0.0014184397163120568,3.5,1.0,0.0,0.0,705,400,False
model,0.85,0.8,3.5,0.2,score_point,0.0028368794326241137,2.15675,0.5025,0.4975,0.6622296173044925,705,400,True
model,0.85,0.9,3.5,0.2,score_point,0.0028368794326241137,2.2064999999999997,0.5025,0.4975,0.6622296173044925,705,400,False
model,0.85,1.0,3.5,0.2,score_point,0.0028368794326241137,2.25625,0.5025,0.4975,0.6622296173044925,705,400,False
model,0.86,0.8,3.5,0.2,score_point,0.0028368794326241137,2.258,0.54,0.46,0.6279863481228669,705,400,False
model,0.86,0.9,3.5,0.2,score_point,0.0028368794326241137,2.304,0.54,0.46,0.6279863481228669,705,400,False
model,0.87,0.8,3.5,0.2,score_point,0.0028368794326241137,2.3052500000000005,0.5575,0.4425,0.61139896373057,705,400,False
model,0.87,0.9,3.5,0.2,score_point,0.0028368794326241137,2.3495,0.5575,0.4425,0.61139896373057,705,400,False
model,0.86,1.0,3.5,0.2,score_point,0.0028368794326241137,2.35,0.54,0.46,0.6279863481228669,705,400,False
model,0.88,0.8,3.5,0.2,score_point,0.0028368794326241137,2.3930000000000002,0.59,0.41,0.5795053003533569,705,400,False
model,0.87,1.0,3.5,0.2,score_point,0.0028368794326241137,2.39375,0.5575,0.4425,0.61139896373057,705,400,False
model,0.89,0.7,3.5,0.2,score_point,0.0028368794326241137,2.429,0.6175,0.3825,0.5513513513513513,705,400,False
model,0.88,0.9,3.5,0.2,score_point,0.0028368794326241137,2.4339999999999997,0.59,0.41,0.5795053003533569,705,400,False
model,0.88,1.0,3.5,0.2,score_point,0.0028368794326241137,2.475,0.59,0.41,0.5795053003533569,705,400,False
model,0.9,0.7,3.5,0.2,score_point,0.0028368794326241137,2.5269999999999997,0.6525,0.3475,0.5138632162661737,705,400,False
model,0.91,0.7,3.5,0.2,score_point,0.0028368794326241137,2.6179999999999994,0.685,0.315,0.47727272727272724,705,400,False
model,0.92,0.5,3.5,0.2,score_point,0.0028368794326241137,2.66,0.72,0.28,0.4357976653696498,705,400,False
model,0.92,0.6,3.5,0.2,score_point,0.0028368794326241137,2.688,0.72,0.28,0.4357976653696498,705,400,False
model,0.92,0.7,3.5,0.2,score_point,0.0028368794326241137,2.716,0.72,0.28,0.4357976653696498,705,400,False
model,0.93,0.4,3.5,0.2,score_point,0.0028368794326241137,2.7404999999999995,0.755,0.245,0.39199999999999996,705,400,False
model,0.94,0.4,3.5,0.2,score_point,0.0028368794326241137,2.8722499999999997,0.7975,0.2025,0.33540372670807456,705,400,False
model,0.95,0.2,3.5,0.2,score_point,0.0028368794326241137,2.98025,0.8425,0.1575,0.2709677419354839,705,400,False
model,0.95,0.3,3.5,0.2,score_point,0.0028368794326241137,2.9960000000000004,0.8425,0.1575,0.2709677419354839,705,400,False
model,0.83,0.8,3.5,0.2,score_point,0.00425531914893617,2.0892500000000003,0.4775,0.5225,0.6830065359477123,705,400,True
model,0.85,0.7,3.5,0.2,score_point,0.00425531914893617,2.1069999999999998,0.5025,0.4975,0.6611295681063123,705,400,False
model,0.84,0.8,3.5,0.2,score_point,0.00425531914893617,2.1162500000000004,0.4875,0.5125,0.6743421052631579,705,400,False
model,0.83,0.9,3.5,0.2,score_point,0.00425531914893617,2.1414999999999997,0.4775,0.5225,0.6830065359477123,705,400,False
model,0.84,0.9,3.5,0.2,score_point,0.00425531914893617,2.1674999999999995,0.4875,0.5125,0.6743421052631579,705,400,False
model,0.83,1.0,3.5,0.2,score_point,0.00425531914893617,2.19375,0.4775,0.5225,0.6830065359477123,705,400,False
model,0.86,0.7,3.5,0.2,score_point,0.00425531914893617,2.2119999999999997,0.54,0.46,0.6269165247018739,705,400,False
model,0.84,1.0,3.5,0.2,score_point,0.00425531914893617,2.21875,0.4875,0.5125,0.6743421052631579,705,400,False
model,0.87,0.7,3.5,0.2,score_point,0.00425531914893617,2.2609999999999997,0.5575,0.4425,0.6103448275862069,705,400,False
model,0.88,0.7,3.5,0.2,score_point,0.00425531914893617,2.352,0.59,0.41,0.5784832451499118,705,400,False
model,0.89,0.6,3.5,0.2,score_point,0.00425531914893617,2.39075,0.6175,0.3825,0.5503597122302158,705,400,False
